Issue id,Issue Type,Status,Priority,Changelog Count,Comments Count,Watch Count,Date Created,Days to date
d81b17f4fb9543d8840a0a131c3841ba3f908a63210c51068fcfece39691b28a,New Feature or Improvement,In Backlog,Major,9,10,7,2019-09-25 11:01:42.155000000,105
3debfed59f747281fc951d684af0f6ff74ca27ddeccc67bc7ece9ed1cec2aa87,Bug,Development Backlog,Major,8,6,7,2019-08-19 05:54:20.997000000,142
b786aef288618edd3452a6bcc4854c11950d6a5712ec666982d043766a287c4b,Bug,Pending Review,Major,7,14,7,2019-12-10 16:07:16.073000000,29
051c1e51a4667599109278a7e2579d56cfe04ec130094658837e139222c91115,New Feature or Improvement,In Backlog,Minor,6,6,7,2019-03-27 11:42:16.609000000,287
504aae623cae985e47fa7c395bf53917448618671d2b9c4c60166064447c55cb,Internal Improvement,Code review,Major,87,25,6,2017-11-14 08:48:38.612000000,785
c289a0f0432a00ad9bbaa4691c6c03b88b8cf2e74107208d661c409796c13ea2,Epic,On Hold,Minor,83,2,6,2016-01-12 04:36:18.784000000,1457
f9f4c25c451d5a54e3fbaca05f0e50e0f2dada9021ee063f10cb580a925e2ef4,Epic,Work in Progress,Major,76,15,6,2018-09-27 09:40:06.653000000,468
5e9424580d77fcd7f0d513425dda4c853c4682c5d7721bf6cc54355ed9935445,Bug,Development Backlog,Minor,68,5,6,2018-04-20 03:30:17.708000000,628
9037c37d3d1b34b8ca194ebc7738db4dbba14f45100982f7617fd06b61b8465c,Internal Improvement,Testing,Minor,66,7,6,2019-06-24 08:21:50.188000000,198
bd6df69c9308d6fd4469c6a2594c980c6b1bec6868a1ba9246ab98fe4c9db765,New Feature or Improvement,Testing On Hold,Minor,63,9,6,2018-12-20 10:04:47.162000000,384
9f07a6850bdfba0d263925344a04871c50b90e9c6dc0159efb3ca7af0748b329,Internal Improvement,Testing On Hold,Major,59,10,6,2019-06-03 14:18:15.821000000,219
d0cd36ad9ba162a68d4d954422e07851947d55533bb2ca43c9444573f6be64fe,Bug,Testing,Minor,59,8,6,2018-10-17 08:21:36.410000000,448
dbbbdf93ab4be8513640b0963d9b9fe758acd0c04e8be2a04ba70570ed941f2b,Internal Improvement,Development On Hold,Trivial,58,10,6,2017-08-24 07:06:03.635000000,867
b7ae87e64e1cde40acdc3d9c5054de38af64a60ee27ba69c5221f5624bac4160,Epic,Cancelled,Major,50,3,6,2019-01-31 08:52:43.300000000,342
29d30a4a74492816c605fb3dd9d343e2c1964cf1c723f480fb114bc568859c9b,New Feature or Improvement,Product review,Major,42,22,6,2019-10-24 08:21:46.558000000,76
470a04c1d6b255eb27b0d19ac09a76a2c6ea6ee9643ca37601cf1de6815ccb69,New Feature or Improvement,Code review,Minor,39,6,6,2019-09-20 06:32:58.866000000,110
a2c7988f27c21e56720b1fe6520cc351cc9bb6c8bed6eac46b9db2127c5adf3a,Bug,Testing,Major,38,5,6,2019-09-24 05:31:36.572000000,106
592a2bad22460e9db443d4c4be205f30621f25ecf99baff4dfcf0fc19c03fb5a,Bug,Development On Hold,Trivial,33,11,6,2018-08-23 10:24:59.105000000,503
422eaf5d5740c9dbcc901d97ee663982b4309a1eab8b6df263de67c75d104882,Internal Improvement,Needs QA fixes,Critical,32,13,6,2019-06-12 19:23:30.889000000,210
c59863a12f060ef502262af95d188859e321d50612423c806f78a895a13bcc3b,Bug,Code review,Major,32,7,6,2018-05-18 10:27:05.078000000,600
c99beacf77d26403dd0aabe3ef30428a68df5b3505f6078f4227db834117c18a,Bug,Ready for dev,Critical,32,6,6,2018-10-01 12:02:27.138000000,464
09f8afe91aa69ae866879d76a8608bc6fa50fe40812939aa8cd97033e9564dff,Epic,Cancelled,Minor,31,7,6,2018-05-30 20:45:43.919000000,588
7dac00dfd8b19d2be059ea65a325cccc74c4a1de09f9d32051752fab351b955e,New Feature or Improvement,Needs CR fixes,Critical,29,7,6,2019-10-16 10:07:17.653000000,84
9c4b02b07e91949f9b168859c4a281d954ca56145804edaec55bd311a03832b1,Epic,Cancelled,Minor,28,8,6,2017-12-13 13:42:56.935000000,756
18e0f8bf0e7244299292dc15fb0adefd3e7b25563a103a8c324b364309da3c87,Epic,Cancelled,Major,28,4,6,2019-02-07 06:02:10.335000000,335
5e1813295db7aeea106580a397b7fe0ddc7c318e47ce4c752e3ca32fe5910043,New Feature or Improvement,In Backlog,Minor,26,7,6,2018-05-30 14:18:10.003000000,588
b452e1967cde06e9305aaf7360624a7c29f42b627693e3facc40d3d3a8d14250,New Feature or Improvement,In Backlog,Minor,25,19,6,2018-01-09 10:45:35.432000000,729
4c3856353c923f959ea1718e29ffe4d893ee9472abb2535e2d3ca6127a7315d0,Internal Improvement,Ready for dev,Major,25,1,6,2019-11-07 05:24:50.879000000,62
8aa7804e3da42fd3a9584caac950de38edf718e2b6fd533831db74c5f1083712,New Feature or Improvement,Development Backlog,Major,24,2,6,2019-05-20 04:24:39.737000000,233
4bbe2b6c56f55123b4f0eda05224781d043f4a73f310bf91efde7c148a4b6d20,Bug,Testing,Major,24,2,6,2019-07-26 10:25:02.975000000,166
4750d655f5bd57ea282346ff39f64084168c5311fa93c3c0d1a20711990cc03e,Bug,Development Backlog,Minor,23,5,6,2018-10-08 23:38:58.794000000,457
062bd067d633089cd129a5d1eb5b8f053aec220160bda59034a0e4a109310f2b,New Feature or Improvement,Testing,Minor,22,11,6,2019-08-20 13:46:41.526000000,141
0efafabc5e4611e8afb0fdbcda82cc9895b717072cd4daede6eac68a785f8f79,Internal Improvement,Development Backlog,Minor,22,10,6,2018-02-02 09:58:15.434000000,705
7ae7ee656b1b15ae9ab2bda7828a9d9bd2ca37a0b7ff893a68ffa9857f157c1e,Epic,Cancelled,Major,22,3,6,2019-06-07 06:47:11.008000000,215
f313b64bc558407a73356397d7251ed6ae8011e06313f9adb27ab98ee981dd60,New Feature or Improvement,In Backlog,Major,21,12,6,2018-07-11 04:28:58.362000000,546
094a025c453364ebac76b7bd257c3dab6be944447473b1990c4560d90f33b3a9,Bug,Ready for dev,Major,20,3,6,2018-10-11 15:17:29.784000000,454
c689d946e0bc506292f33a0746b581f1ddcd66b3d5b1842ebe5f32b94406e571,Internal Improvement,Development,Minor,19,12,6,2015-10-15 20:02:17.538000000,1546
6bc319e42d6cd9d43570492650bce8f759c658887b8b31a3609af9691aa365f5,Epic,Work in Progress,Minor,19,3,6,2017-08-11 05:08:43.997000000,880
c99546abe43d9cda9a164b8c9d02ea84aca933d398429d188ea2b6d387354f61,Epic,Cancelled,Minor,18,3,6,2016-08-30 17:40:13.528000000,1226
2c741bfdef2c37ffec4480ac5b37f9bb13003003feb48f643c404e79d99b056d,Bug,Needs CR fixes,Major,16,9,6,2019-08-13 18:22:38.281000000,148
5cdffd8ed75f9561d81b72f94bdc29ec8c7536f382025aebccdcf7b46a22e67e,Internal Improvement,In Backlog,Minor,15,6,6,2018-11-06 15:34:02.021000000,428
120578db7e8bf04ed6189118e7a7733f94b9e197896ca4f6a8df42318da2fc5e,Bug,Ready for dev,Critical,15,6,6,2019-05-23 20:19:04.207000000,230
e4673e497c0ef824f0263e8cd798b27697b3a59688c4133f64fe0a1a411d5d7f,Internal Improvement,Development Backlog,Major,15,6,6,2019-07-30 07:02:47.548000000,162
0c7f8a8cb1918ba6b7e54bff797cd502d3b595ae9acdfd043c34df532377fcfe,Epic,On Hold,Minor,15,2,6,2018-01-09 19:26:50.027000000,729
7a75ceb90e776beca4ed2e44117d98e987a10c5af07e1b31125fdb7fa8bf03d1,Internal Improvement,In Backlog,Minor,13,12,6,2016-12-19 18:54:46.983000000,1115
9058b8cd54d8dda18a00141b1e130319c7b04884f1ae71b95434261cc2149574,Internal Improvement,Testing,Minor,13,6,6,2019-09-26 16:09:14.964000000,104
87beaec364535d6d098b4480b173aa7e362dc1046488968c13906c6d5efaadbf,New Feature or Improvement,Research,Major,10,5,6,2019-11-08 04:31:36.053000000,61
be93f2496897d6156ce29076557fe7ee8b4729b5372601dbc8b436eb24a1c5c7,New Feature or Improvement,In Backlog,Minor,9,8,6,2017-12-08 14:54:53.152000000,761
